scenario,trace,icount,"rss, kb","time, s",Ncomp,Pcomp,Prss,V,processing,verification
Logic1,1,1.83E+07,8.17E+06,183.12,110926,6.05E-03,4.46E-01,1.00E+05,1,1
Logic1,2,1.68E+07,7.52E+06,177.59,108000,6.44E-03,4.48E-01,9.44E+04,1,1
Logic1,3,1.17E+07,5.44E+06,127.86,72424,6.18E-03,4.64E-01,9.17E+04,1,1
Logic1,4,1.48E+07,6.64E+06,159.83,103096,6.97E-03,4.49E-01,9.25E+04,1,1
Logic1,5,1.53E+07,6.80E+06,161.63,91978,6.00E-03,4.44E-01,9.48E+04,1,1
Logic1,6,1.52E+07,6.74E+06,154.58,82275,5.42E-03,4.44E-01,9.83E+04,1,1
Logic1,7,1.43E+07,6.37E+06,150.1,74479,5.19E-03,4.44E-01,9.55E+04,1,1
Logic1,8,4.45E+07,1.97E+07,502.28,633175,1.42E-02,4.43E-01,8.86E+04,1,1
Logic1,9,1.47E+07,6.63E+06,155.19,140258,9.52E-03,4.50E-01,9.50E+04,1,1
Logic1,10,1.67E+07,7.43E+06,176.68,126901,7.59E-03,4.44E-01,9.46E+04,1,1
Logic2,1,2.51E+07,1.13E+07,252.08,471811,1.88E-02,4.51E-01,9.97E+04,1,1
Logic2,2,2.43E+07,1.09E+07,252.43,146264,6.02E-03,4.49E-01,9.63E+04,1,1
Logic2,3,3.24E+07,1.39E+07,335.95,315523,9.73E-03,4.28E-01,9.65E+04,1,1
Logic2,4,1.77E+07,7.71E+06,186.36,130817,7.38E-03,4.35E-01,9.51E+04,1,0
Logic2,5,2.72E+07,1.18E+07,284.53,235667,8.67E-03,4.35E-01,9.56E+04,1,1
Logic2,6,2.45E+07,1.05E+07,242.77,163163,6.66E-03,4.30E-01,1.01E+05,1,1
Logic2,7,1.69E+07,7.68E+06,181.3,127157,7.52E-03,4.54E-01,9.33E+04,1,0
Logic2,8,2.62E+07,1.16E+07,281.79,220310,8.40E-03,4.42E-01,9.31E+04,1,1
Logic2,9,1.38E+07,6.19E+06,145.49,101092,7.34E-03,4.50E-01,9.46E+04,1,1
Logic2,10,4.08E+07,1.77E+07,434.99,391522,9.60E-03,4.33E-01,9.38E+04,1,1
Gfx1,1,1.46E+07,6.39E+06,158.95,143157,9.81E-03,4.37E-01,9.18E+04,1,1
Gfx1,2,1.96E+07,8.74E+06,223.38,240253,1.23E-02,4.47E-01,8.76E+04,1,1
Gfx1,3,1.55E+07,6.78E+06,183.9,178833,1.15E-02,4.37E-01,8.43E+04,1,1
Gfx1,4,1.51E+07,6.58E+06,178.37,142882,9.46E-03,4.36E-01,8.47E+04,1,1
Gfx1,5,1.41E+07,6.23E+06,170.88,140437,9.93E-03,4.41E-01,8.28E+04,1,1
Gfx1,6,1.44E+07,6.30E+06,168.02,143787,1.00E-02,4.39E-01,8.55E+04,1,1
Gfx1,7,9.61E+06,4.24E+06,116.27,107495,1.12E-02,4.41E-01,8.27E+04,1,1
Gfx1,8,1.14E+07,5.11E+06,131.79,123074,1.08E-02,4.48E-01,8.65E+04,1,1
Gfx1,9,1.27E+07,5.63E+06,133.8,141045,1.11E-02,4.42E-01,9.53E+04,1,1
Gfx1,10,1.46E+07,6.39E+06,152.68,174166,1.20E-02,4.39E-01,9.53E+04,1,1
Gfx2,1,2.48E+07,1.09E+07,266.32,236785,9.55E-03,4.39E-01,9.31E+04,1,1
Gfx2,2,2.74E+07,1.19E+07,289.88,284179,1.04E-02,4.34E-01,9.47E+04,1,1
Gfx2,3,1.83E+07,7.94E+06,193.71,167217,9.16E-03,4.35E-01,9.42E+04,1,1
Gfx2,4,2.01E+07,8.82E+06,218.32,206827,1.03E-02,4.40E-01,9.18E+04,1,1
Gfx2,5,2.53E+07,1.12E+07,278.49,241941,9.56E-03,4.41E-01,9.08E+04,1,1
Gfx2,6,2.68E+07,1.17E+07,327.64,256396,9.58E-03,4.37E-01,8.17E+04,1,1
Gfx2,7,2.00E+07,8.73E+06,261.47,197313,9.88E-03,4.37E-01,7.63E+04,1,1
Gfx2,8,2.59E+07,1.14E+07,348.76,279940,1.08E-02,4.39E-01,7.43E+04,1,1
Gfx2,9,2.95E+07,1.27E+07,395.36,348466,1.18E-02,4.31E-01,7.46E+04,1,1
Gfx2,10,3.17E+07,1.38E+07,417.27,322737,1.02E-02,4.36E-01,7.60E+04,1,1
Gfx3,1,2.00E+08,4.19E+07,355.22,-,-,-,-,0,-
Gfx3,2,2.02E+08,4.19E+07,356.88,-,-,-,-,0,-
Gfx3,3,2.06E+08,4.19E+07,371.66,-,-,-,-,0,-
Gfx3,4,9.99E+06,4.31E+06,129.34,120767,1.21E-02,4.32E-01,7.72E+04,1,0
